id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,counterpress,ball_recovery_recovery_failure,pass_cross,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,out,off_camera,dribble_outcome_id,dribble_outcome_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,pass_switch,shot_statsbomb_xg,shot_end_location,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,clearance_body_part_id,clearance_body_part_name,clearance_head,pass_miscommunication,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,dribble_overrun,clearance_right_foot,clearance_left_foot,pass_aerial_won,pass_technique_id,pass_technique_name,pass_through_ball,pass_cut_back,foul_committed_type_id,foul_committed_type_name,foul_won_defensive,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,goalkeeper_technique_id,goalkeeper_technique_name,foul_committed_advantage,foul_won_advantage,pass_goal_assist,shot_aerial_won,shot_first_time,clearance_aerial_won,foul_committed_card_id,foul_committed_card_name,ball_recovery_offensive,dribble_nutmeg,pass_outswinging,block_deflection,pass_no_touch,bad_behaviour_card_id,bad_behaviour_card_name,pass_inswinging,shot_one_on_one,50_50_outcome_id,50_50_outcome_name,foul_committed_offensive,foul_committed_penalty,shot_follows_dribble,block_offensive,pass_straight,shot_deflected,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_50/50,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Offside,event_type_Pass,event_type_Pressure,event_type_Shot,event_type_Starting XI,event_type_Substitution,pitch_control_score
c9c30d64-6a18-4c32-b11f-5a107fdf606a,1,1,00:00:00.000,0,0,1,0.0,35,Starting XI,217,Barcelona,1,Regular Play,217,Barcelona,433.0,"[{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 7068, 'name': 'Marc Bartra Aregall'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 22102, 'name': 'Adriano Correia Claro'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.21820073176695853
a9e419be-ce2a-4f9c-9d03-0f36e9057f77,2,1,00:00:00.000,0,0,1,0.0,35,Starting XI,217,Barcelona,1,Regular Play,208,Las Palmas,352.0,"[{'player': {'id': 26753, 'name': 'Javier Varas Herrera'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 27522, 'name': 'Antolín Alcáraz Viveros'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 8440, 'name': 'Aythami Artiles Oliva'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 16}, {'player': {'id': 7907, 'name': 'Pedro Bigas Rigo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 7906, 'name': 'David Simón Rodríguez Santana'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 6932, 'name': 'Dani Castellano Betancor'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 23}, {'player': {'id': 15805, 'name': 'Hernán Daniel Santana Trujillo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 3610, 'name': 'Roque Mesa Quevedo'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 6626, 'name': 'Mubarak Wakaso'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 8167, 'name': 'Sergio Ezequiel Araújo'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 10755, 'name': 'Jonathan Viera Ramos'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 20}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.2317740558496567
af0cbeb4-9d15-4534-9921-4ba8237061b7,3,1,00:00:00.000,0,0,1,0.0,18,Half Start,217,Barcelona,1,Regular Play,217,Barcelona,,,['8242ff7f-89c1-4c1b-8b26-3f2a74e6d301'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.7233059348507775
8242ff7f-89c1-4c1b-8b26-3f2a74e6d301,4,1,00:00:00.000,0,0,1,0.0,18,Half Start,217,Barcelona,1,Regular Play,208,Las Palmas,,,['af0cbeb4-9d15-4534-9921-4ba8237061b7'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.8668941322764672
10f183e1-eac5-42b8-91a6-3089cedac05f,5,1,00:00:00.929,0,0,2,0.668273,30,Pass,217,Barcelona,9,From Kick Off,217,Barcelona,,,['c04deaf1-1056-4214-9a0e-6bc6e7f7cefc'],"[60.0, 40.0]",5246.0,Luis Alberto Suárez Díaz,23.0,Center Forward,4320.0,Neymar da Silva Santos Junior,2.7802877,-2.228685,1.0,Ground Pass,"[58.3, 37.8]",40.0,Right Foot,65.0,Kick Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.929,0.929,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.2176245610615808
c04deaf1-1056-4214-9a0e-6bc6e7f7cefc,6,1,00:00:01.597,0,1,2,,42,Ball Receipt*,217,Barcelona,9,From Kick Off,217,Barcelona,,,['10f183e1-eac5-42b8-91a6-3089cedac05f'],"[58.3, 37.8]",4320.0,Neymar da Silva Santos Junior,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.597,0.6679999999999999,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.799617052126761
5afac607-d402-4823-a65c-229d79d9e119,7,1,00:00:01.597,0,1,2,0.079427,43,Carry,217,Barcelona,9,From Kick Off,217,Barcelona,,,"['c04deaf1-1056-4214-9a0e-6bc6e7f7cefc', 'c679ef18-1b9b-4d8d-a718-729fec396306']","[58.3, 37.8]",4320.0,Neymar da Silva Santos Junior,21.0,Left Wing,,,,,,,,,,,,"[58.5, 37.6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.597,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7864429147939077
c679ef18-1b9b-4d8d-a718-729fec396306,8,1,00:00:01.677,0,1,2,1.110802,30,Pass,217,Barcelona,9,From Kick Off,217,Barcelona,,,['4605e9b1-9c97-42e5-b854-580fa8fb290b'],"[58.5, 37.6]",4320.0,Neymar da Silva Santos Junior,21.0,Left Wing,5506.0,Javier Alejandro Mascherano,14.990664,2.9127939,1.0,Ground Pass,"[43.9, 41.0]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.677,0.08000000000000007,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.05010367816581196
4605e9b1-9c97-42e5-b854-580fa8fb290b,9,1,00:00:02.787,0,2,2,,42,Ball Receipt*,217,Barcelona,9,From Kick Off,217,Barcelona,,,['c679ef18-1b9b-4d8d-a718-729fec396306'],"[43.9, 41.0]",5506.0,Javier Alejandro Mascherano,10.0,Center Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.787,1.1099999999999999,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5201108577072474
df2a6936-dd55-4e76-933e-445203e7f8cc,10,1,00:00:02.787,0,2,2,3.226498,43,Carry,217,Barcelona,9,From Kick Off,217,Barcelona,,,"['3837d193-b853-401f-8122-7cc9fdc78e76', '4605e9b1-9c97-42e5-b854-580fa8fb290b']","[43.9, 41.0]",5506.0,Javier Alejandro Mascherano,10.0,Center Defensive Midfield,,,,,,,,,,,,"[57.0, 34.7]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.787,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7380122774253509
