id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,counterpress,duel_type_id,duel_type_name,pass_aerial_won,out,pass_switch,foul_committed_card_id,foul_committed_card_name,interception_outcome_id,interception_outcome_name,dribble_outcome_id,dribble_outcome_name,pass_cross,pass_cut_back,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,pass_inswinging,pass_technique_id,pass_technique_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,shot_statsbomb_xg,shot_end_location,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_first_time,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,duel_outcome_id,duel_outcome_name,foul_committed_advantage,foul_won_advantage,dribble_no_touch,clearance_other,clearance_left_foot,foul_won_defensive,dribble_overrun,ball_recovery_offensive,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,clearance_head,clearance_aerial_won,ball_recovery_recovery_failure,goalkeeper_body_part_id,goalkeeper_body_part_name,foul_committed_type_id,foul_committed_type_name,shot_one_on_one,pass_through_ball,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,foul_committed_offensive,pass_outswinging,pass_deflected,pass_goal_assist,50_50_outcome_id,50_50_outcome_name,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_50/50,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Error,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
acdcb72f-cc3a-4bc9-8bd9-cbf908a9df0c,1,1,00:00:00.000,0,0,1,0.0,35,Starting XI,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,442.0,"[{'player': {'id': 6378, 'name': 'Jan Oblak'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6375, 'name': 'Juan Francisco Torres Belén'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 6376, 'name': 'Stefan Savić'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 5249, 'name': 'Diego Roberto Godín Leal'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 26780, 'name': 'Guilherme Magdalena Siqueira'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 4}, {'player': {'id': 6384, 'name': 'Gabriel Fernández Arenas'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 6381, 'name': 'Saúl Ñíguez Esclapez'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 12021, 'name': 'Óliver Torres Muñoz'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 5633, 'name': 'Yannick Ferreira Carrasco'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 21}, {'player': {'id': 6382, 'name': 'Fernando José Torres Sanz'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.40183781126801055
261e2c3e-1a54-4621-9d74-fd02fdbbcf27,2,1,00:00:00.000,0,0,1,0.0,35,Starting XI,212,Atlético Madrid,1,Regular Play,216,Getafe,4231.0,"[{'player': {'id': 6625, 'name': 'Vicente Guaita Panadero'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6627, 'name': 'Damián Nicolás Suárez Suárez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 27403, 'name': 'Santiago Vergini'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 6614, 'name': 'Alexis Ruano Delgado'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 6856, 'name': 'Carlos Martín Vigaray'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 6736, 'name': 'Álvaro Medrán Just'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 25881, 'name': 'Juan Antonio Rodríguez Villamuela'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 6907, 'name': 'Pedro León Sánchez Gil'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 15893, 'name': 'Víctor Rodríguez Romero'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 18}, {'player': {'id': 26020, 'name': 'Ángel Lafita Castillo'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 23416, 'name': 'Stefan Šćepović'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 12}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.21728259975863795
dac74e89-4b49-4a17-a10e-7635026f8410,3,1,00:00:00.000,0,0,1,0.0,18,Half Start,212,Atlético Madrid,1,Regular Play,216,Getafe,,,['3f4cb940-139d-4f0b-a0c1-d0350feba81d'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.2898675528170307
3f4cb940-139d-4f0b-a0c1-d0350feba81d,4,1,00:00:00.000,0,0,1,0.0,18,Half Start,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,,,['dac74e89-4b49-4a17-a10e-7635026f8410'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.32425239665816785
7249c4ca-1af3-4855-808b-20d04384c099,5,1,00:00:00.301,0,0,2,0.906342,30,Pass,212,Atlético Madrid,9,From Kick Off,212,Atlético Madrid,,,['bbc5bd84-3ce7-45fe-b3cc-919b162be181'],True,"[61.0, 40.1]",6382.0,Fernando José Torres Sanz,22.0,Right Center Forward,6384.0,Gabriel Fernández Arenas,4.3737855,1.7547398,1.0,Ground Pass,"[60.2, 44.4]",40.0,Right Foot,65.0,Kick Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.301,0.301,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.5769806310440606
bbc5bd84-3ce7-45fe-b3cc-919b162be181,6,1,00:00:01.208,0,1,2,,42,Ball Receipt*,212,Atlético Madrid,9,From Kick Off,212,Atlético Madrid,,,['7249c4ca-1af3-4855-808b-20d04384c099'],,"[60.2, 44.4]",6384.0,Gabriel Fernández Arenas,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.208,0.907,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.11427275372355239
f8e70c1f-cdce-4553-8a34-dfd6689f6a40,7,1,00:00:01.416,0,1,2,1.575205,30,Pass,212,Atlético Madrid,9,From Kick Off,212,Atlético Madrid,,,['c8855076-eefc-4b41-b662-bfd050762494'],,"[58.5, 44.7]",6384.0,Gabriel Fernández Arenas,9.0,Right Defensive Midfield,6381.0,Saúl Ñíguez Esclapez,16.164467,-2.7277653,1.0,Ground Pass,"[43.7, 38.2]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.416,0.20799999999999996,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.0566334307061801
c8855076-eefc-4b41-b662-bfd050762494,8,1,00:00:02.991,0,2,2,,42,Ball Receipt*,212,Atlético Madrid,9,From Kick Off,212,Atlético Madrid,,,['f8e70c1f-cdce-4553-8a34-dfd6689f6a40'],,"[43.7, 38.2]",6381.0,Saúl Ñíguez Esclapez,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.991,1.5750000000000002,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5204155275248573
3728c1d6-643a-4ba1-a036-9dac076087b2,9,1,00:00:02.991,0,2,2,0.64,43,Carry,212,Atlético Madrid,9,From Kick Off,212,Atlético Madrid,,,"['c8855076-eefc-4b41-b662-bfd050762494', 'd1ad8bc2-40cc-41b1-b2b6-0a48f5089c4b']",,"[43.7, 38.2]",6381.0,Saúl Ñíguez Esclapez,11.0,Left Defensive Midfield,,,,,,,,,,,,"[43.7, 34.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.991,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.912669630671201
d1ad8bc2-40cc-41b1-b2b6-0a48f5089c4b,10,1,00:00:03.631,0,3,2,1.861387,30,Pass,212,Atlético Madrid,9,From Kick Off,212,Atlético Madrid,,,['b0de7eb6-fa25-4f7d-b89e-290b5e5cbe2f'],,"[43.7, 34.1]",6381.0,Saúl Ñíguez Esclapez,11.0,Left Defensive Midfield,26780.0,Guilherme Magdalena Siqueira,23.007824,-1.5447153,1.0,Ground Pass,"[44.3, 11.1]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.631,0.6399999999999997,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.02517911989257493
