id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,duel_type_id,duel_type_name,pass_aerial_won,interception_outcome_id,interception_outcome_name,dribble_overrun,dribble_outcome_id,dribble_outcome_name,pass_switch,duel_outcome_id,duel_outcome_name,out,ball_recovery_recovery_failure,counterpress,foul_won_defensive,clearance_body_part_id,clearance_body_part_name,clearance_head,pass_technique_id,pass_technique_name,pass_through_ball,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,off_camera,pass_straight,pass_cut_back,pass_outswinging,clearance_aerial_won,pass_cross,clearance_right_foot,pass_inswinging,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,foul_committed_type_id,foul_committed_type_name,shot_first_time,50_50_outcome_id,50_50_outcome_name,foul_committed_card_id,foul_committed_card_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,shot_deflected,block_deflection,goalkeeper_technique_id,goalkeeper_technique_name,foul_committed_penalty,shot_one_on_one,goalkeeper_body_part_id,goalkeeper_body_part_name,clearance_left_foot,foul_committed_advantage,foul_won_advantage,pass_miscommunication,dribble_nutmeg,foul_won_penalty,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_50/50,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Error,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Own Goal Against,event_type_Own Goal For,event_type_Pass,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,pitch_control_score
45e061eb-191c-48da-a34f-2c4919343cec,1,1,00:00:00.000,0,0,1,0.0,35,Starting XI,207,Valencia,1,Regular Play,207,Valencia,433.0,"[{'player': {'id': 6898, 'name': 'Jaume Doménech Sánchez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 24}, {'player': {'id': 7005, 'name': 'João Pedro Cavaco Cancelo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3638, 'name': 'Shkodran Mustafi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 27482, 'name': 'Aderllan Leandro de Jesus Santos'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 6596, 'name': 'José Luis Gayà Peña'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 14}, {'player': {'id': 6751, 'name': 'Javier Fuego Martínez'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 6595, 'name': 'Daniel Parejo Muñoz'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 10802, 'name': 'André Filipe Tavares Gomes'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 6594, 'name': 'Santiago Mina Lorenzo'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 22}, {'player': {'id': 6763, 'name': 'Pablo Daniel Piatti'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 6402, 'name': 'Francisco Alcácer García'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.9618280157260813
4467cb29-3620-4f4e-a2e6-3b214edb0383,2,1,00:00:00.000,0,0,1,0.0,35,Starting XI,207,Valencia,1,Regular Play,223,Málaga,4231.0,"[{'player': {'id': 26103, 'name': 'Idriss Carlos Kameni'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6569, 'name': 'Roberto José Rosales Altuve'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 27184, 'name': 'Marcos Alberto Angeleri'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 26669, 'name': 'Weligton Róbson Pena de Oliveira'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 6878, 'name': 'Miguel Torres Gómez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 8234, 'name': 'Ignacio Camacho Barnola'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 6764, 'name': 'Pablo Fornals Malla'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 31}, {'player': {'id': 10868, 'name': 'Ricardo Jorge Luz Horta'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 25859, 'name': 'Sérgio Paulo Barbosa Valente'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 17}, {'player': {'id': 6559, 'name': 'Juan Carlos Pérez López'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 6707, 'name': 'Charles Días Barbosa de Oliveira'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.5927570934412634
42a2d5b8-021d-49a2-8e43-4cd3d4dac8d5,3,1,00:00:00.000,0,0,1,0.0,18,Half Start,207,Valencia,1,Regular Play,207,Valencia,,,['0b00c431-8a23-415f-8bc6-4067e1ebe6cd'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.8993703628150457
0b00c431-8a23-415f-8bc6-4067e1ebe6cd,4,1,00:00:00.000,0,0,1,0.0,18,Half Start,207,Valencia,1,Regular Play,223,Málaga,,,['42a2d5b8-021d-49a2-8e43-4cd3d4dac8d5'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.974389388447046
9ca60337-fe73-45d5-8561-e1240aed08e7,5,1,00:00:00.458,0,0,2,0.519999,30,Pass,207,Valencia,9,From Kick Off,207,Valencia,,,['9df29569-c99a-4027-85ff-956801871761'],"[61.0, 40.1]",6402.0,Francisco Alcácer García,23.0,Center Forward,6594.0,Santiago Mina Lorenzo,4.1773195,1.7634971,1.0,Ground Pass,"[60.2, 44.2]",40.0,Right Foot,65.0,Kick Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.458,0.458,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.1462554392227532
9df29569-c99a-4027-85ff-956801871761,6,1,00:00:00.978,0,0,2,,42,Ball Receipt*,207,Valencia,9,From Kick Off,207,Valencia,,,['9ca60337-fe73-45d5-8561-e1240aed08e7'],"[60.2, 44.2]",6594.0,Santiago Mina Lorenzo,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.978,0.52,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.09232800951705578
5906cd17-f6f5-43b7-828e-9aa2e75f0802,7,1,00:00:00.978,0,0,2,0.5979,43,Carry,207,Valencia,9,From Kick Off,207,Valencia,,,"['9df29569-c99a-4027-85ff-956801871761', 'cb8c3128-e13a-41e8-b899-7c43c9075792']","[60.2, 44.2]",6594.0,Santiago Mina Lorenzo,17.0,Right Wing,,,,,,,,,,,,"[60.2, 44.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.978,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.49298091053391113
cb8c3128-e13a-41e8-b899-7c43c9075792,8,1,00:00:01.576,0,1,2,0.833899,30,Pass,207,Valencia,9,From Kick Off,207,Valencia,,,['8661fb1b-c258-4b8b-aa41-26eda1f73dbd'],"[60.2, 44.2]",6594.0,Santiago Mina Lorenzo,17.0,Right Wing,6751.0,Javier Fuego Martínez,16.260689,-2.4476418,1.0,Ground Pass,"[47.7, 33.8]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.576,0.5980000000000001,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.4606768577345679
8661fb1b-c258-4b8b-aa41-26eda1f73dbd,9,1,00:00:02.410,0,2,2,,42,Ball Receipt*,207,Valencia,9,From Kick Off,207,Valencia,,,['cb8c3128-e13a-41e8-b899-7c43c9075792'],"[47.7, 33.8]",6751.0,Javier Fuego Martínez,10.0,Center Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.41,0.8340000000000001,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.30948329302487154
bc759745-4ee4-49bc-92ce-6074bcda49a4,10,1,00:00:02.410,0,2,2,0.738399,43,Carry,207,Valencia,9,From Kick Off,207,Valencia,,,"['8661fb1b-c258-4b8b-aa41-26eda1f73dbd', '8b4ce209-9668-493e-be28-d4df66360dc4']","[47.7, 33.8]",6751.0,Javier Fuego Martínez,10.0,Center Defensive Midfield,,,,,,,,,,,,"[47.2, 33.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.41,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6581127357847996
