id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,under_pressure,carry_end_location,pass_aerial_won,pass_outcome_id,pass_outcome_name,duel_type_id,duel_type_name,ball_receipt_outcome_id,ball_receipt_outcome_name,foul_won_defensive,pass_cross,clearance_head,clearance_body_part_id,clearance_body_part_name,counterpress,interception_outcome_id,interception_outcome_name,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,injury_stoppage_in_chain,pass_switch,pass_assisted_shot_id,pass_shot_assist,out,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_first_time,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,foul_committed_type_id,foul_committed_type_name,pass_through_ball,pass_technique_id,pass_technique_name,shot_one_on_one,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,shot_open_goal,ball_recovery_recovery_failure,foul_committed_card_id,foul_committed_card_name,dribble_overrun,clearance_aerial_won,pass_inswinging,pass_outswinging,miscontrol_aerial_won,clearance_right_foot,block_save_block,clearance_left_foot,pass_miscommunication,pass_deflected,pass_goal_assist,dribble_nutmeg,shot_aerial_won,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,foul_committed_offensive,goalkeeper_punched_out,foul_committed_advantage,foul_won_advantage,shot_redirect,bad_behaviour_card_id,bad_behaviour_card_name,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Referee Ball-Drop,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
733070f7-31f1-4786-bed8-4a6a291c45f9,1,1,00:00:00.000,0,0,1,0.0,35,Starting XI,221,Levante UD,1,Regular Play,221,Levante UD,352.0,"[{'player': {'id': 6730, 'name': 'Rubén Iván Martínez Andrade'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 27122, 'name': 'Simão Mate'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 6647, 'name': 'Zouhair Feddal'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 24}, {'player': {'id': 26023, 'name': 'Juan Francisco García García'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 12}, {'player': {'id': 6668, 'name': 'José Luis Morales Nogales'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 11}, {'player': {'id': 6784, 'name': 'Antonio García Aranda'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 3}, {'player': {'id': 6659, 'name': 'Víctor Camarasa Ferrando'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 23970, 'name': 'José María Martín-Bejarano Serrano'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 22}, {'player': {'id': 5678, 'name': 'Jefferson Andrés Lerma Solís'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 25134, 'name': 'Deyverson Brum Silva Acosta'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 20}, {'player': {'id': 6684, 'name': 'Roger Martí Salvador'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 14}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.9301598752637994
f6def682-1d59-4a23-a630-17c0199846d5,2,1,00:00:00.000,0,0,1,0.0,35,Starting XI,221,Levante UD,1,Regular Play,210,Real Sociedad,4231.0,"[{'player': {'id': 6694, 'name': 'Gerónimo Rulli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6605, 'name': 'Joseba Zaldúa Bengoetxea'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 16622, 'name': 'Mikel González de Martín Martínez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 6665, 'name': 'Íñigo Martínez Berridi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3023, 'name': 'Yuri Berchiche Izeta'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 6671, 'name': 'Asier Illarramendi Andonegi'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 6633, 'name': 'Markel Bergara Larrañaga'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5560, 'name': 'Carlos Alberto Vela Garrido'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 6690, 'name': 'Xabier Prieto Argarate'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 6669, 'name': 'David Zurutuza Veillet'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 6677, 'name': 'Imanol Agirretxe Arruti'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.34156593611027153
0540eb29-973b-496a-ab14-ea51815295ad,3,1,00:00:00.000,0,0,1,0.0,18,Half Start,221,Levante UD,1,Regular Play,210,Real Sociedad,,,['1f9dfa8b-b243-4767-a38f-0072e6739e8f'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8563948946612175
1f9dfa8b-b243-4767-a38f-0072e6739e8f,4,1,00:00:00.000,0,0,1,0.0,18,Half Start,221,Levante UD,1,Regular Play,221,Levante UD,,,['0540eb29-973b-496a-ab14-ea51815295ad'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.35191361950782996
cdc30aa9-0cb0-4c47-8423-0d7129714aa7,5,1,00:00:01.518,0,1,2,0.455823,30,Pass,210,Real Sociedad,9,From Kick Off,210,Real Sociedad,,,['69becf8a-8634-4a7b-8b55-b11d3843381d'],True,"[61.0, 40.1]",5560.0,Carlos Alberto Vela Garrido,17.0,Right Wing,6677.0,Imanol Agirretxe Arruti,4.62277,2.4634733,1.0,Ground Pass,"[57.4, 43.0]",40.0,Right Foot,65.0,Kick Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.518,1.518,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.610192457914215
69becf8a-8634-4a7b-8b55-b11d3843381d,6,1,00:00:01.974,0,1,2,,42,Ball Receipt*,210,Real Sociedad,9,From Kick Off,210,Real Sociedad,,,['cdc30aa9-0cb0-4c47-8423-0d7129714aa7'],,"[57.4, 43.0]",6677.0,Imanol Agirretxe Arruti,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.974,0.45599999999999996,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.31405781127131405
245aaa28-6e27-44ad-9c7d-92cb1e3432f0,7,1,00:00:02.091,0,2,2,1.505752,30,Pass,210,Real Sociedad,9,From Kick Off,210,Real Sociedad,,,['df52b303-88ed-4745-b5e4-b6470f9572f0'],True,"[57.4, 43.0]",6677.0,Imanol Agirretxe Arruti,23.0,Center Forward,6671.0,Asier Illarramendi Andonegi,15.962456,-2.8753407,1.0,Ground Pass,"[42.0, 38.8]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.091,0.11700000000000021,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.3015926236543889
df52b303-88ed-4745-b5e4-b6470f9572f0,8,1,00:00:03.597,0,3,2,,42,Ball Receipt*,210,Real Sociedad,9,From Kick Off,210,Real Sociedad,,,['245aaa28-6e27-44ad-9c7d-92cb1e3432f0'],,"[42.0, 38.8]",6671.0,Asier Illarramendi Andonegi,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.597,1.5059999999999998,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5327145384963076
e58e0e46-9287-497d-8abc-9b2f9b8979cb,9,1,00:00:03.926,0,3,2,0.448156,17,Pressure,210,Real Sociedad,9,From Kick Off,221,Levante UD,,,['5f0cb5c3-e7a8-4b53-be7a-e99e89bed033'],,"[75.7, 42.0]",6684.0,Roger Martí Salvador,24.0,Left Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.926,0.3290000000000002,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.3974221706305253
5f0cb5c3-e7a8-4b53-be7a-e99e89bed033,10,1,00:00:04.183,0,4,2,1.390495,30,Pass,210,Real Sociedad,9,From Kick Off,210,Real Sociedad,,,"['1e03de73-a06a-44da-9a1c-99a2fb69e6a1', 'e58e0e46-9287-497d-8abc-9b2f9b8979cb']",,"[42.9, 40.5]",6671.0,Asier Illarramendi Andonegi,9.0,Right Defensive Midfield,16622.0,Mikel González de Martín Martínez,16.48302,2.3261607,1.0,Ground Pass,"[31.6, 52.5]",38.0,Left Foot,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.183,0.2569999999999997,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.5863389469222945
