id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,under_pressure,duel_type_id,duel_type_name,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,counterpress,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,shot_statsbomb_xg,shot_end_location,shot_technique_id,shot_technique_name,shot_first_time,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,duel_outcome_id,duel_outcome_name,pass_cross,out,clearance_right_foot,pass_technique_id,pass_technique_name,pass_outswinging,pass_aerial_won,off_camera,pass_switch,dribble_outcome_id,dribble_outcome_name,50_50_outcome_id,50_50_outcome_name,foul_won_defensive,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,pass_inswinging,block_offensive,foul_committed_advantage,foul_won_advantage,dribble_nutmeg,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,clearance_left_foot,shot_open_goal,bad_behaviour_card_id,bad_behaviour_card_name,foul_committed_penalty,foul_won_penalty,ball_recovery_recovery_failure,dribble_overrun,shot_one_on_one,foul_committed_card_id,foul_committed_card_name,miscontrol_aerial_won,pass_through_ball,foul_committed_offensive,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,foul_committed_type_id,foul_committed_type_name,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_50/50,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Error,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Offside,event_type_Own Goal Against,event_type_Own Goal For,event_type_Pass,event_type_Pressure,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
633b9c75-ab22-44c5-943f-022127c0aca6,1,1,00:00:00.000,0,0,1,0.0,35,Starting XI,219,RC Deportivo La Coruña,1,Regular Play,219,RC Deportivo La Coruña,4231.0,"[{'player': {'id': 27305, 'name': 'Germán Darío Lux'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6738, 'name': 'Juan Francisco Moreno Fuertes'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 6869, 'name': 'Alejandro Arribas Garrido'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 6777, 'name': 'Sidnei Rechel da Silva Júnior'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 12}, {'player': {'id': 6913, 'name': 'Fernando Navarro i Corbacho'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 23806, 'name': 'Alejandro Bergantiños García'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 6733, 'name': 'Pedro Mosquera Parada'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 25921, 'name': 'Rubén Gracia Calmache'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 6}, {'player': {'id': 6732, 'name': 'Lucas Pérez Martínez'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 6734, 'name': 'Luis Carlos Correia Pinto'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 16}, {'player': {'id': 26288, 'name': 'Jonathan Javier Rodríguez Portillo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.3059996459919807
932e451b-476f-47c0-a4d9-df85303ea75a,2,1,00:00:00.000,0,0,1,0.0,35,Starting XI,219,RC Deportivo La Coruña,1,Regular Play,209,Celta Vigo,4231.0,"[{'player': {'id': 6884, 'name': 'Sergio Álvarez Conde'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6805, 'name': 'Hugo Mallo Novegil'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 6804, 'name': 'Sergi Gómez Solà'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 20}, {'player': {'id': 6890, 'name': 'Andreu Fontàs Prat'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 6802, 'name': 'Jonathan Castro Otto'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 19668, 'name': 'Augusto Matías Fernández'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 6797, 'name': 'Daniel Wass'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 7105, 'name': 'Fabián Ariel Orellana Valenzuela'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 6801, 'name': 'Pedro Pablo Hernández'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 6724, 'name': 'Manuel Agudo Durán'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 5217, 'name': 'Iago Aspas Juncal'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.3559832487295108
d9b12d22-d2be-41c8-88aa-138244da136b,3,1,00:00:00.000,0,0,1,0.0,18,Half Start,219,RC Deportivo La Coruña,1,Regular Play,209,Celta Vigo,,,['46329a10-de69-4d4a-8c35-009f26a23be3'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.9458080560640463
46329a10-de69-4d4a-8c35-009f26a23be3,4,1,00:00:00.000,0,0,1,0.0,18,Half Start,219,RC Deportivo La Coruña,1,Regular Play,219,RC Deportivo La Coruña,,,['d9b12d22-d2be-41c8-88aa-138244da136b'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.6344375253979975
a694d16b-e98f-4f7e-a01c-24c3faba2ed0,5,1,00:00:01.347,0,1,2,0.082106,30,Pass,209,Celta Vigo,9,From Kick Off,209,Celta Vigo,,,['347b7f58-aa6b-4611-875c-99544bb9b7f4'],"[60.0, 40.0]",5217.0,Iago Aspas Juncal,23.0,Center Forward,6801.0,Pedro Pablo Hernández,2.236068,-2.0344439,1.0,Ground Pass,"[59.0, 38.0]",40.0,Right Foot,65.0,Kick Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.347,1.347,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.4638605922893867
347b7f58-aa6b-4611-875c-99544bb9b7f4,6,1,00:00:01.429,0,1,2,,42,Ball Receipt*,209,Celta Vigo,9,From Kick Off,209,Celta Vigo,,,['a694d16b-e98f-4f7e-a01c-24c3faba2ed0'],"[59.0, 38.0]",6801.0,Pedro Pablo Hernández,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.429,0.08200000000000007,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.37040248550882326
35b4c136-8bcb-4eaa-9eb0-7844b1cb1cca,7,1,00:00:01.429,0,1,2,0.746356,43,Carry,209,Celta Vigo,9,From Kick Off,209,Celta Vigo,,,"['14dd09ef-216c-496e-9319-08efc92cc2cd', '347b7f58-aa6b-4611-875c-99544bb9b7f4']","[59.0, 38.0]",6801.0,Pedro Pablo Hernández,19.0,Center Attacking Midfield,,,,,,,,,,,,"[58.2, 38.6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.429,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.380912166987587
14dd09ef-216c-496e-9319-08efc92cc2cd,8,1,00:00:02.175,0,2,2,1.516948,30,Pass,209,Celta Vigo,9,From Kick Off,209,Celta Vigo,,,['7cc54865-f4c5-49df-861f-77877d09791a'],"[58.2, 38.6]",6801.0,Pedro Pablo Hernández,19.0,Center Attacking Midfield,6890.0,Andreu Fontàs Prat,26.629496,-2.7687569,1.0,Ground Pass,"[33.4, 28.9]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.175,0.7459999999999998,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.1466610487989537
7cc54865-f4c5-49df-861f-77877d09791a,9,1,00:00:03.692,0,3,2,,42,Ball Receipt*,209,Celta Vigo,9,From Kick Off,209,Celta Vigo,,,['14dd09ef-216c-496e-9319-08efc92cc2cd'],"[33.4, 28.9]",6890.0,Andreu Fontàs Prat,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.692,1.5170000000000003,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.08951382677670117
1a594bef-a520-4d19-93dc-5552cbb17b8a,10,1,00:00:03.692,0,3,2,2.301028,43,Carry,209,Celta Vigo,9,From Kick Off,209,Celta Vigo,,,"['0daa9d2a-7900-4758-9f02-919c98daa2e4', '7cc54865-f4c5-49df-861f-77877d09791a']","[33.4, 28.9]",6890.0,Andreu Fontàs Prat,5.0,Left Center Back,,,,,,,,,,,,"[33.4, 28.9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.692,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9054806742729838
