id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,counterpress,pass_outcome_id,pass_outcome_name,pass_through_ball,pass_technique_id,pass_technique_name,ball_receipt_outcome_id,ball_receipt_outcome_name,off_camera,interception_outcome_id,interception_outcome_name,out,pass_cross,pass_cut_back,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,dribble_outcome_id,dribble_outcome_name,foul_committed_type_id,foul_committed_type_name,foul_committed_offensive,clearance_head,pass_aerial_won,dribble_nutmeg,dribble_overrun,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_switch,foul_committed_advantage,foul_won_advantage,foul_won_defensive,goalkeeper_end_location,foul_committed_card_id,foul_committed_card_name,ball_recovery_recovery_failure,pass_outswinging,shot_first_time,clearance_aerial_won,pass_miscommunication,clearance_left_foot,pass_inswinging,shot_one_on_one,pass_no_touch,miscontrol_aerial_won,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_deflected,shot_aerial_won,block_offensive,block_deflection,shot_open_goal,pass_goal_assist,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
25662b68-c883-4183-9f39-f8f70a14d17d,1,1,00:00:00.000,0,0,1,0.0,35,Starting XI,210,Real Sociedad,1,Regular Play,210,Real Sociedad,433.0,"[{'player': {'id': 6694, 'name': 'Gerónimo Rulli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8724, 'name': 'Carlos Martínez Díez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 6679, 'name': 'Aritz Elustondo Irribaria'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 30}, {'player': {'id': 6665, 'name': 'Íñigo Martínez Berridi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3023, 'name': 'Yuri Berchiche Izeta'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 6633, 'name': 'Markel Bergara Larrañaga'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 6690, 'name': 'Xabier Prieto Argarate'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 6899, 'name': 'Rubén Pardo Gutiérrez'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 5560, 'name': 'Carlos Alberto Vela Garrido'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 8522, 'name': 'Armindo Tué Na Bangna'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 8584, 'name': 'Jonathas Cristian de Jesus'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 22}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.4862384808557083
ef2386e1-750b-4107-bd3c-c60f55db9ee7,2,1,00:00:00.000,0,0,1,0.0,35,Starting XI,210,Real Sociedad,1,Regular Play,207,Valencia,442.0,"[{'player': {'id': 6898, 'name': 'Jaume Doménech Sánchez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 24}, {'player': {'id': 6663, 'name': 'Antonio Barragán Fernández'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 3638, 'name': 'Shkodran Mustafi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 4406, 'name': 'Aymen Abdennour'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 7005, 'name': 'João Pedro Cavaco Cancelo'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 6595, 'name': 'Daniel Parejo Muñoz'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 5741, 'name': 'Enzo Nicolás Pérez'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 6594, 'name': 'Santiago Mina Lorenzo'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 22}, {'player': {'id': 7797, 'name': 'Rodrigo Javier De Paul'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 20}, {'player': {'id': 5718, 'name': 'Rodrigo Moreno Machado'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 17}, {'player': {'id': 6402, 'name': 'Francisco Alcácer García'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.5686371205415626
fe2e2cdd-7e25-45e9-a04b-85c3e89d8803,3,1,00:00:00.000,0,0,1,0.0,18,Half Start,210,Real Sociedad,1,Regular Play,207,Valencia,,,['bd1182e6-88a3-4e49-92d5-6203dc76f3b2'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.6886202720597476
bd1182e6-88a3-4e49-92d5-6203dc76f3b2,4,1,00:00:00.000,0,0,1,0.0,18,Half Start,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,['fe2e2cdd-7e25-45e9-a04b-85c3e89d8803'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.38004962287771893
c0484bf9-356b-427d-8be9-95a1336215ea,5,1,00:00:00.429,0,0,2,0.335777,30,Pass,207,Valencia,9,From Kick Off,207,Valencia,,,['ebcbb33c-f348-4b3d-8a7a-9cc7631efb1a'],"[60.0, 40.0]",5718.0,Rodrigo Moreno Machado,22.0,Right Center Forward,6402.0,Francisco Alcácer García,3.4014702,1.6001996,1.0,Ground Pass,"[59.9, 43.4]",40.0,Right Foot,65.0,Kick Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.429,0.429,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.9855880447967259
ebcbb33c-f348-4b3d-8a7a-9cc7631efb1a,6,1,00:00:00.765,0,0,2,,42,Ball Receipt*,207,Valencia,9,From Kick Off,207,Valencia,,,['c0484bf9-356b-427d-8be9-95a1336215ea'],"[59.9, 43.4]",6402.0,Francisco Alcácer García,24.0,Left Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.765,0.336,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9331732896028706
009440ea-4f71-45ce-b881-86dfad24111c,7,1,00:00:00.765,0,0,2,0.119998,43,Carry,207,Valencia,9,From Kick Off,207,Valencia,,,"['4501b7ff-a457-455a-ace4-7e0c92130727', 'ebcbb33c-f348-4b3d-8a7a-9cc7631efb1a']","[59.9, 43.4]",6402.0,Francisco Alcácer García,24.0,Left Center Forward,,,,,,,,,,,,"[58.7, 41.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.765,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5014379871447351
4501b7ff-a457-455a-ace4-7e0c92130727,8,1,00:00:00.885,0,0,2,0.826343,30,Pass,207,Valencia,9,From Kick Off,207,Valencia,,,['5295f0b6-1504-481c-9a9b-f9fd4aa6b3bc'],"[58.7, 41.1]",6402.0,Francisco Alcácer García,24.0,Left Center Forward,6595.0,Daniel Parejo Muñoz,12.955694,-3.0488362,1.0,Ground Pass,"[45.8, 39.9]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.885,0.12,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.03811577753784823
5295f0b6-1504-481c-9a9b-f9fd4aa6b3bc,9,1,00:00:01.711,0,1,2,,42,Ball Receipt*,207,Valencia,9,From Kick Off,207,Valencia,,,['4501b7ff-a457-455a-ace4-7e0c92130727'],"[45.8, 39.9]",6595.0,Daniel Parejo Muñoz,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.711,0.8260000000000001,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9342216619559144
beccc54e-9570-4e70-a02e-4b17dee05f4c,10,1,00:00:01.711,0,1,2,2.547668,43,Carry,207,Valencia,9,From Kick Off,207,Valencia,,,"['2e503de7-e9c2-4ded-abf1-a5557643b4fb', '5295f0b6-1504-481c-9a9b-f9fd4aa6b3bc']","[45.8, 39.9]",6595.0,Daniel Parejo Muñoz,9.0,Right Defensive Midfield,,,,,,,,,,,,"[45.2, 38.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.711,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.48945369785816717
