id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,duel_type_id,duel_type_name,pass_aerial_won,dribble_outcome_id,dribble_outcome_name,out,counterpress,duel_outcome_id,duel_outcome_name,dribble_nutmeg,off_camera,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,pass_cross,goalkeeper_outcome_id,goalkeeper_outcome_name,pass_switch,interception_outcome_id,interception_outcome_name,ball_recovery_recovery_failure,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,clearance_head,foul_won_defensive,pass_goal_assist,goalkeeper_technique_id,goalkeeper_technique_name,pass_through_ball,pass_technique_id,pass_technique_name,pass_outswinging,shot_first_time,foul_committed_type_id,foul_committed_type_name,clearance_aerial_won,block_deflection,pass_deflected,foul_committed_card_id,foul_committed_card_name,goalkeeper_body_part_id,goalkeeper_body_part_name,dribble_overrun,clearance_left_foot,shot_follows_dribble,miscontrol_aerial_won,foul_committed_advantage,foul_won_advantage,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_miscommunication,foul_committed_offensive,dribble_no_touch,shot_one_on_one,pass_cut_back,pass_inswinging,50_50_outcome_id,50_50_outcome_name,injury_stoppage_in_chain,shot_aerial_won,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_50/50,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Referee Ball-Drop,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
712f5754-98d1-4537-8e12-5f9e7ad67a52,1,1,00:00:00.000,0,0,1,0.0,35,Starting XI,223,Málaga,1,Regular Play,223,Málaga,442.0,"[{'player': {'id': 26103, 'name': 'Idriss Carlos Kameni'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6569, 'name': 'Roberto José Rosales Altuve'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 16723, 'name': 'Egor Filipenko'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 21}, {'player': {'id': 6878, 'name': 'Miguel Torres Gómez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 27335, 'name': 'Arthur Etienne Boka'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 8234, 'name': 'Ignacio Camacho Barnola'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 6580, 'name': 'José Luis García del Pozo'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 6563, 'name': 'Juan Pablo Añor Acosta'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 28}, {'player': {'id': 3084, 'name': 'Christian Atsu Twasam'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 8419, 'name': 'Duje Čop'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 20}, {'player': {'id': 6707, 'name': 'Charles Días Barbosa de Oliveira'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.7298590021925085
7c6366cc-c525-4869-950d-952a49fe8346,2,1,00:00:00.000,0,0,1,0.0,35,Starting XI,223,Málaga,1,Regular Play,216,Getafe,4231.0,"[{'player': {'id': 6625, 'name': 'Vicente Guaita Panadero'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6627, 'name': 'Damián Nicolás Suárez Suárez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 27403, 'name': 'Santiago Vergini'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 17054, 'name': 'Emiliano Daniel Velázquez Maldonado'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 6856, 'name': 'Carlos Martín Vigaray'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 25881, 'name': 'Juan Antonio Rodríguez Villamuela'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 6745, 'name': 'Mehdi Lacen'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 6907, 'name': 'Pedro León Sánchez Gil'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 15893, 'name': 'Víctor Rodríguez Romero'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 18}, {'player': {'id': 11675, 'name': 'Moisés Gómez Bordonado'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 21}, {'player': {'id': 23416, 'name': 'Stefan Šćepović'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 12}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.5524354822546396
7607d941-f360-4a6a-bd59-a033b22ab150,3,1,00:00:00.000,0,0,1,0.0,18,Half Start,223,Málaga,1,Regular Play,223,Málaga,,,['2b73e125-fd1a-46eb-9c75-7428fa6b1d8b'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.41580599307158084
2b73e125-fd1a-46eb-9c75-7428fa6b1d8b,4,1,00:00:00.000,0,0,1,0.0,18,Half Start,223,Málaga,1,Regular Play,216,Getafe,,,['7607d941-f360-4a6a-bd59-a033b22ab150'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.1197906660052499
5be06a06-5ffb-4b9f-ac41-96e8a2daf2b0,5,1,00:00:00.729,0,0,2,1.739532,30,Pass,223,Málaga,9,From Kick Off,223,Málaga,,,['ecd48a01-140a-4f14-bc69-c5f684732761'],"[61.0, 40.1]",6707.0,Charles Días Barbosa de Oliveira,24.0,Left Center Forward,6878.0,Miguel Torres Gómez,27.116232,2.8536682,1.0,Ground Pass,"[35.0, 47.8]",40.0,Right Foot,65.0,Kick Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.729,0.729,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.862748520503824
ecd48a01-140a-4f14-bc69-c5f684732761,6,1,00:00:02.469,0,2,2,,42,Ball Receipt*,223,Málaga,9,From Kick Off,223,Málaga,,,['5be06a06-5ffb-4b9f-ac41-96e8a2daf2b0'],"[35.0, 47.8]",6878.0,Miguel Torres Gómez,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.469,1.7399999999999998,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7248160114100932
9c40fc33-2a5b-4ed9-83b2-587b473c5d61,7,1,00:00:02.469,0,2,2,1.801221,43,Carry,223,Málaga,9,From Kick Off,223,Málaga,,,"['a63258f2-55f6-41b1-a852-0e8c225f3b4d', 'ecd48a01-140a-4f14-bc69-c5f684732761']","[35.0, 47.8]",6878.0,Miguel Torres Gómez,5.0,Left Center Back,,,,,,,,,,,,"[36.5, 47.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.469,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.904093534655149
a63258f2-55f6-41b1-a852-0e8c225f3b4d,8,1,00:00:04.270,0,4,2,3.016683,30,Pass,223,Málaga,9,From Kick Off,223,Málaga,,,"['bd0c6c36-1738-42fc-a79c-9b349b265f21', 'd0ff1928-420f-46bc-b598-9717edc7e024']","[36.5, 47.8]",6878.0,Miguel Torres Gómez,5.0,Left Center Back,6707.0,Charles Días Barbosa de Oliveira,48.52319,0.03091798,3.0,High Pass,"[85.0, 49.3]",40.0,Right Foot,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.27,1.8009999999999997,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.891383298818165
bd0c6c36-1738-42fc-a79c-9b349b265f21,9,1,00:00:07.287,0,7,2,,42,Ball Receipt*,223,Málaga,9,From Kick Off,223,Málaga,,,['a63258f2-55f6-41b1-a852-0e8c225f3b4d'],"[82.3, 49.0]",6707.0,Charles Días Barbosa de Oliveira,24.0,Left Center Forward,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.287,3.0170000000000003,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7646827642999948
d3c061f2-b9c8-48dc-b346-c77900a0ec44,10,1,00:00:07.287,0,7,2,0.0,4,Duel,223,Málaga,9,From Kick Off,223,Málaga,,,['d0ff1928-420f-46bc-b598-9717edc7e024'],"[85.0, 49.3]",6707.0,Charles Días Barbosa de Oliveira,24.0,Left Center Forward,,,,,,,,,,,,,,,,,True,10.0,Aerial Lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.287,0.0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.979208201918827
