id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,under_pressure,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,pass_technique_id,pass_technique_name,pass_straight,ball_recovery_recovery_failure,foul_won_defensive,pass_aerial_won,duel_type_id,duel_type_name,off_camera,pass_switch,out,counterpress,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,pass_cross,clearance_body_part_id,clearance_body_part_name,clearance_head,pass_deflected,pass_miscommunication,pass_assisted_shot_id,pass_shot_assist,pass_through_ball,shot_one_on_one,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,shot_first_time,goalkeeper_end_location,foul_committed_card_id,foul_committed_card_name,dribble_overrun,pass_outswinging,clearance_right_foot,foul_committed_type_id,foul_committed_type_name,block_offensive,clearance_other,dribble_nutmeg,foul_committed_advantage,foul_won_advantage,clearance_aerial_won,pass_inswinging,foul_committed_offensive,shot_aerial_won,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,bad_behaviour_card_id,bad_behaviour_card_name,clearance_left_foot,pass_goal_assist,50_50_outcome_id,50_50_outcome_name,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_50/50,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Error,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
67d2c8df-4e72-467b-a7b9-3f93759475a3,1,1,00:00:00.000,0,0,1,0.0,35,Starting XI,214,Espanyol,1,Regular Play,214,Espanyol,4231.0,"[{'player': {'id': 6792, 'name': 'Pau López Sabata'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6791, 'name': 'Javier López Rodríguez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 16}, {'player': {'id': 6762, 'name': 'Álvaro González Soberón'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 16456, 'name': 'Enzo Pablo Roco Roco'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 6612, 'name': 'Rubén Duarte Sánchez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 6758, 'name': 'Víctor Sánchez Mata'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 6867, 'name': 'Papa Kouly Diop'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 6838, 'name': 'Hernán Arsenio Pérez González'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 5719, 'name': 'Marco Asensio Willemsen'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 25}, {'player': {'id': 6766, 'name': 'Gerard Moreno Balaguero'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 7781, 'name': 'Felipe Salvador Caicedo Corozo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.8609599413861522
0e69c1b9-3b82-4faf-8a6f-ce49727763f9,2,1,00:00:00.000,0,0,1,0.0,35,Starting XI,214,Espanyol,1,Regular Play,208,Las Palmas,4231.0,"[{'player': {'id': 26753, 'name': 'Javier Varas Herrera'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 7906, 'name': 'David Simón Rodríguez Santana'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 8440, 'name': 'Aythami Artiles Oliva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 16}, {'player': {'id': 15805, 'name': 'Hernán Daniel Santana Trujillo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 6932, 'name': 'Dani Castellano Betancor'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 3610, 'name': 'Roque Mesa Quevedo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 6929, 'name': 'José Vicente Gómez Umpiérrez'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 6934, 'name': 'Jerónimo Figueroa Cabrera'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 6928, 'name': 'Pedro Taunausú Domínguez Placeres'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 24}, {'player': {'id': 26689, 'name': 'Nauzet Alemán Viera'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 8167, 'name': 'Sergio Ezequiel Araújo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.6366484020212819
53a3428d-4125-40f4-8a0c-edf2ded2c792,3,1,00:00:00.000,0,0,1,0.0,18,Half Start,214,Espanyol,1,Regular Play,214,Espanyol,,,['017bb3e3-a38a-4ac6-aa26-03cc69a37a8f'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.42240257802249814
017bb3e3-a38a-4ac6-aa26-03cc69a37a8f,4,1,00:00:00.000,0,0,1,0.0,18,Half Start,214,Espanyol,1,Regular Play,208,Las Palmas,,,['53a3428d-4125-40f4-8a0c-edf2ded2c792'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.8441505961394025
8979eef5-a5ea-4c36-9a87-2db8f9ccd1b7,5,1,00:00:00.533,0,0,2,0.530766,30,Pass,214,Espanyol,9,From Kick Off,214,Espanyol,,,['d7f8a999-7d42-4d9e-81d1-5076d63d0bc7'],"[60.0, 40.0]",6838.0,Hernán Arsenio Pérez González,17.0,Right Wing,5719.0,Marco Asensio Willemsen,1.8027756,-1.6262949,1.0,Ground Pass,"[59.9, 38.2]",65.0,Kick Off,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.533,0.533,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.6074590811010666
d7f8a999-7d42-4d9e-81d1-5076d63d0bc7,6,1,00:00:01.064,0,1,2,,42,Ball Receipt*,214,Espanyol,9,From Kick Off,214,Espanyol,,,['8979eef5-a5ea-4c36-9a87-2db8f9ccd1b7'],"[59.9, 38.2]",5719.0,Marco Asensio Willemsen,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.064,0.531,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.46436051442985926
d643c83a-f97f-44bd-9465-e641080ca66b,7,1,00:00:01.064,0,1,2,0.555073,43,Carry,214,Espanyol,9,From Kick Off,214,Espanyol,,,"['d1ab37b6-28fa-4ed1-a0a5-afe671525cdd', 'd7f8a999-7d42-4d9e-81d1-5076d63d0bc7']","[59.9, 38.2]",5719.0,Marco Asensio Willemsen,19.0,Center Attacking Midfield,,,,,,,,,,,,"[59.9, 37.7]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.064,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4452915975018038
d1ab37b6-28fa-4ed1-a0a5-afe671525cdd,8,1,00:00:01.619,0,1,2,1.0384,30,Pass,214,Espanyol,9,From Kick Off,214,Espanyol,,,['5bff9d5d-9f60-4902-bd59-d528bbab4d52'],"[59.9, 37.7]",5719.0,Marco Asensio Willemsen,19.0,Center Attacking Midfield,6867.0,Papa Kouly Diop,16.337074,-3.0742102,1.0,Ground Pass,"[43.6, 36.6]",,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.619,0.5549999999999999,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.19399138316082698
5bff9d5d-9f60-4902-bd59-d528bbab4d52,9,1,00:00:02.658,0,2,2,,42,Ball Receipt*,214,Espanyol,9,From Kick Off,214,Espanyol,,,['d1ab37b6-28fa-4ed1-a0a5-afe671525cdd'],"[43.6, 36.6]",6867.0,Papa Kouly Diop,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.658,1.039,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4263311414006753
0bc090d0-fb05-496d-abd5-c9aa78b898a2,10,1,00:00:02.658,0,2,2,0.696565,43,Carry,214,Espanyol,9,From Kick Off,214,Espanyol,,,"['2b7fe841-0f35-4613-ad04-8b75965d1974', '5bff9d5d-9f60-4902-bd59-d528bbab4d52']","[43.6, 36.6]",6867.0,Papa Kouly Diop,11.0,Left Defensive Midfield,,,,,,,,,,,,"[43.6, 36.6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.658,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8595395918962988
