id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_switch,under_pressure,pass_outcome_id,pass_outcome_name,pass_aerial_won,duel_type_id,duel_type_name,ball_receipt_outcome_id,ball_receipt_outcome_name,counterpress,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,off_camera,interception_outcome_id,interception_outcome_name,pass_cross,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,shot_first_time,out,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,clearance_body_part_id,clearance_body_part_name,clearance_left_foot,clearance_head,pass_technique_id,pass_technique_name,pass_through_ball,clearance_right_foot,pass_no_touch,pass_miscommunication,pass_cut_back,foul_committed_card_id,foul_committed_card_name,50_50_outcome_id,50_50_outcome_name,foul_committed_offensive,foul_committed_type_id,foul_committed_type_name,foul_won_defensive,clearance_aerial_won,pass_inswinging,ball_recovery_recovery_failure,dribble_overrun,pass_outswinging,dribble_no_touch,shot_one_on_one,bad_behaviour_card_id,bad_behaviour_card_name,dribble_nutmeg,pass_goal_assist,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,ball_recovery_offensive,half_end_early_video_end,timestamp_seconds
b8248b47-0fa1-4ff4-8f23-e0c7478a7183,1,1,00:00:00.000,0,0,1,0.0,35,Starting XI,217,Barcelona,1,Regular Play,217,Barcelona,433.0,"[{'player': {'id': 4691, 'name': 'Claudio Andrés Bravo Muñoz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
770d1b27-ca52-4966-8edb-e22a67d09d1b,2,1,00:00:00.000,0,0,1,0.0,35,Starting XI,217,Barcelona,1,Regular Play,207,Valencia,451.0,"[{'player': {'id': 25144, 'name': 'Diego Alves Carreira'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6663, 'name': 'Antonio Barragán Fernández'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 3638, 'name': 'Shkodran Mustafi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 4406, 'name': 'Aymen Abdennour'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 26780, 'name': 'Guilherme Magdalena Siqueira'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 6751, 'name': 'Javier Fuego Martínez'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 5718, 'name': 'Rodrigo Moreno Machado'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 17}, {'player': {'id': 6595, 'name': 'Daniel Parejo Muñoz'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 5741, 'name': 'Enzo Nicolás Pérez'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 10802, 'name': 'André Filipe Tavares Gomes'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 21}, {'player': {'id': 6594, 'name': 'Santiago Mina Lorenzo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 22}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
9cc30397-e099-4954-bf47-50f9d3952220,3,1,00:00:00.000,0,0,1,0.0,18,Half Start,217,Barcelona,1,Regular Play,207,Valencia,,,['4a41c713-2b7a-4077-9afa-d553263aaa94'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
4a41c713-2b7a-4077-9afa-d553263aaa94,4,1,00:00:00.000,0,0,1,0.0,18,Half Start,217,Barcelona,1,Regular Play,217,Barcelona,,,['9cc30397-e099-4954-bf47-50f9d3952220'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
9065c50a-c238-4155-96a4-cd1b4be215a4,5,1,00:00:00.927,0,0,2,2.386907,30,Pass,207,Valencia,9,From Kick Off,207,Valencia,,,['4260328e-177e-48b8-9fd2-0fd0b877137e'],"[61.0, 40.1]",6594.0,Santiago Mina Lorenzo,23.0,Center Forward,3638.0,Shkodran Mustafi,30.041637,2.819842,1.0,Ground Pass,"[32.5, 49.6]",40.0,Right Foot,65.0,Kick Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.927
4260328e-177e-48b8-9fd2-0fd0b877137e,6,1,00:00:03.313,0,3,2,,42,Ball Receipt*,207,Valencia,9,From Kick Off,207,Valencia,,,['9065c50a-c238-4155-96a4-cd1b4be215a4'],"[32.5, 49.6]",3638.0,Shkodran Mustafi,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.313
1ffd4968-70eb-48fd-8825-950f3b61f783,7,1,00:00:03.313,0,3,2,0.921838,43,Carry,207,Valencia,9,From Kick Off,207,Valencia,,,"['4260328e-177e-48b8-9fd2-0fd0b877137e', '5454cf00-f37e-4039-9cf9-67e304e6bdc3']","[32.5, 49.6]",3638.0,Shkodran Mustafi,3.0,Right Center Back,,,,,,,,,,,,"[33.3, 49.4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.313
5454cf00-f37e-4039-9cf9-67e304e6bdc3,8,1,00:00:04.235,0,4,2,3.737712,30,Pass,207,Valencia,9,From Kick Off,207,Valencia,,,['71d376d3-6e10-4469-976c-9ae104cf2ea2'],"[33.3, 49.4]",3638.0,Shkodran Mustafi,3.0,Right Center Back,10802.0,André Filipe Tavares Gomes,59.688023,-0.8019843,3.0,High Pass,"[74.8, 6.5]",40.0,Right Foot,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.235
71d376d3-6e10-4469-976c-9ae104cf2ea2,9,1,00:00:07.973,0,7,2,,42,Ball Receipt*,207,Valencia,9,From Kick Off,207,Valencia,,,['5454cf00-f37e-4039-9cf9-67e304e6bdc3'],"[74.8, 6.5]",10802.0,André Filipe Tavares Gomes,16.0,Left Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.973
7dbf8583-468b-47a1-85b7-9b60ed260645,10,1,00:00:07.973,0,7,2,1.3151,30,Pass,207,Valencia,9,From Kick Off,207,Valencia,,,"['742dcde6-da95-4aca-96e6-4abc96939d09', 'd493c41b-b1cc-453d-9183-eb94d63eab0b', 'f05d2cfd-b194-4290-8c0e-bbb9a7ef3ed3']","[73.1, 5.8]",10802.0,André Filipe Tavares Gomes,16.0,Left Midfield,6594.0,Santiago Mina Lorenzo,13.984277,1.2807094,3.0,High Pass,"[77.1, 19.2]",,,,,,,True,9.0,Incomplete,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.973
