id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,duel_type_id,duel_type_name,out,clearance_head,clearance_body_part_id,clearance_body_part_name,clearance_aerial_won,interception_outcome_id,interception_outcome_name,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,ball_recovery_recovery_failure,dribble_outcome_id,dribble_outcome_name,counterpress,duel_outcome_id,duel_outcome_name,clearance_left_foot,pass_switch,clearance_right_foot,pass_cross,pass_aerial_won,goalkeeper_outcome_id,goalkeeper_outcome_name,off_camera,miscontrol_aerial_won,foul_won_defensive,foul_committed_advantage,foul_won_advantage,foul_committed_offensive,foul_committed_type_id,foul_committed_type_name,pass_cut_back,pass_no_touch,foul_committed_card_id,foul_committed_card_name,shot_first_time,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,pass_outswinging,pass_technique_id,pass_technique_name,pass_goal_assist,pass_through_ball,shot_one_on_one,pass_straight,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,dribble_nutmeg,block_save_block,pass_inswinging,shot_open_goal,bad_behaviour_card_id,bad_behaviour_card_name,timestamp_seconds
e48e3646-8adb-428b-8316-ab5ffd16ae42,1,1,00:00:00.000,0,0,1,0.0,35,Starting XI,218,Real Betis,1,Regular Play,218,Real Betis,442.0,"[{'player': {'id': 6654, 'name': 'Antonio Adán Garrido'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 11634, 'name': 'Cristiano Piccini'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 12}, {'player': {'id': 7161, 'name': 'Germán Alejandro Pezzella'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 20}, {'player': {'id': 6872, 'name': 'Bruno González Cabrera'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 27347, 'name': 'Juan Manuel Vargas Risco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 24162, 'name': 'Xavier Torres Buigues'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 5671, 'name': ""Alfred John Momar N''Diaye""}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 26723, 'name': 'Álvaro Cejudo Carmona'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 16}, {'player': {'id': 6873, 'name': 'Francisco Portillo Soler'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 22}, {'player': {'id': 6630, 'name': 'Jorge Molina Vidal'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 19}, {'player': {'id': 6832, 'name': 'Rubén Castro Martín'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 24}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
5109c7f2-f6ea-4f13-8cda-ffadb9e02a9c,2,1,00:00:00.000,0,0,1,0.0,35,Starting XI,218,Real Betis,1,Regular Play,222,Villarreal,442.0,"[{'player': {'id': 3379, 'name': 'Alphonse Areola'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6772, 'name': 'Mario Gaspar Pérez Martínez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3324, 'name': 'Eric Bertrand Bailly'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 6752, 'name': 'Víctor Ruíz Torre'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 6828, 'name': 'Jaume Vicent Costa Jordá'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 18867, 'name': 'Matías Nahuel Leiva Esquivel'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 26}, {'player': {'id': 6622, 'name': 'Tomás Pina Isla'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 22819, 'name': 'Bruno Soriano Llido'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 6829, 'name': 'Samuel Castillejo Azuaga'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 19}, {'player': {'id': 6761, 'name': 'Leonardo Carrilho Baptistão'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 26009, 'name': 'Roberto Soldado Rillo'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
8f8ebb06-0c1c-4d9b-9fe4-02c5bdc4f814,3,1,00:00:00.000,0,0,1,0.0,18,Half Start,218,Real Betis,1,Regular Play,222,Villarreal,,,['6489ca65-e095-49fb-b8ef-bdda13fd34e1'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
6489ca65-e095-49fb-b8ef-bdda13fd34e1,4,1,00:00:00.000,0,0,1,0.0,18,Half Start,218,Real Betis,1,Regular Play,218,Real Betis,,,['8f8ebb06-0c1c-4d9b-9fe4-02c5bdc4f814'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
4d12cac0-d33c-4997-91fd-d6b1dea0e96f,5,1,00:00:00.940,0,0,2,0.817568,30,Pass,222,Villarreal,9,From Kick Off,222,Villarreal,,,['a9e91c5c-c907-48b2-9dea-10d52c7d8afe'],"[61.0, 40.1]",26009.0,Roberto Soldado Rillo,24.0,Left Center Forward,22819.0,Bruno Soriano Llido,9.8,3.1415927,1.0,Ground Pass,"[51.2, 40.1]",40.0,Right Foot,65.0,Kick Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.94
a9e91c5c-c907-48b2-9dea-10d52c7d8afe,6,1,00:00:01.757,0,1,2,,42,Ball Receipt*,222,Villarreal,9,From Kick Off,222,Villarreal,,,['4d12cac0-d33c-4997-91fd-d6b1dea0e96f'],"[51.2, 40.1]",22819.0,Bruno Soriano Llido,15.0,Left Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.757
5abcbe2b-58fa-47ae-a51f-6cd2942c1649,7,1,00:00:01.757,0,1,2,1.446014,43,Carry,222,Villarreal,9,From Kick Off,222,Villarreal,,,"['56fbf44a-6344-4c0f-830c-fa5f094d4f36', 'a9e91c5c-c907-48b2-9dea-10d52c7d8afe']","[51.2, 40.1]",22819.0,Bruno Soriano Llido,15.0,Left Center Midfield,,,,,,,,,,,,"[50.8, 43.6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.757
56fbf44a-6344-4c0f-830c-fa5f094d4f36,8,1,00:00:03.203,0,3,2,2.091956,30,Pass,222,Villarreal,9,From Kick Off,222,Villarreal,,,['0614a08a-70af-4641-a874-c8555dcff157'],"[50.8, 43.6]",22819.0,Bruno Soriano Llido,15.0,Left Center Midfield,3324.0,Eric Bertrand Bailly,29.10756,2.3002918,1.0,Ground Pass,"[31.4, 65.3]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.203
0614a08a-70af-4641-a874-c8555dcff157,9,1,00:00:05.295,0,5,2,,42,Ball Receipt*,222,Villarreal,9,From Kick Off,222,Villarreal,,,['56fbf44a-6344-4c0f-830c-fa5f094d4f36'],"[31.4, 65.3]",3324.0,Eric Bertrand Bailly,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.295
ce5d90bc-b57a-49a6-96c4-6bd86a03018d,10,1,00:00:05.295,0,5,2,5.699109,43,Carry,222,Villarreal,9,From Kick Off,222,Villarreal,,,"['0614a08a-70af-4641-a874-c8555dcff157', '0e146011-8408-4357-8084-bce30fe62a67']","[31.4, 65.3]",3324.0,Eric Bertrand Bailly,3.0,Right Center Back,,,,,,,,,,,,"[47.7, 77.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.295
