id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,under_pressure,carry_end_location,pass_outcome_id,pass_outcome_name,duel_type_id,duel_type_name,out,clearance_head,clearance_body_part_id,clearance_body_part_name,clearance_aerial_won,pass_cross,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_switch,pass_straight,pass_technique_id,pass_technique_name,foul_committed_offensive,foul_won_defensive,pass_aerial_won,clearance_left_foot,counterpress,interception_outcome_id,interception_outcome_name,block_offensive,pass_assisted_shot_id,pass_shot_assist,shot_one_on_one,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,clearance_right_foot,duel_outcome_id,duel_outcome_name,pass_goal_assist,shot_aerial_won,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,ball_recovery_recovery_failure,dribble_outcome_id,dribble_outcome_name,dribble_overrun,shot_first_time,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_cut_back,pass_miscommunication,pass_through_ball,foul_committed_advantage,foul_won_advantage,clearance_other,foul_committed_card_id,foul_committed_card_name,foul_committed_type_id,foul_committed_type_name,miscontrol_aerial_won,pass_inswinging,pass_no_touch,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,goalkeeper_punched_out,shot_open_goal,pass_outswinging,dribble_nutmeg,timestamp_seconds
df5d976d-e74a-4122-b916-619339325faa,1,1,00:00:00.000,0,0,1,0.0,35,Starting XI,322,Eibar,1,Regular Play,322,Eibar,4231.0,"[{'player': {'id': 10763, 'name': 'Asier Riesgo Unamuno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6699, 'name': 'Ander Capa Rodríguez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 7}, {'player': {'id': 6837, 'name': 'Mauro Javier Dos Santos'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 6778, 'name': 'Iván Ramis Barrios'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 6776, 'name': 'David Juncà Reñé'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 6712, 'name': 'Gonzalo Escalante'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 6775, 'name': 'Daniel García Carrillo'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 24070, 'name': 'Saúl Berjón Pérez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 21}, {'player': {'id': 6557, 'name': 'Adrián González Morales'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 24}, {'player': {'id': 5687, 'name': 'Takashi Inui'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 8}, {'player': {'id': 6566, 'name': 'Borja González Tomás'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 18}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
ac3379b2-ea5a-45f5-9591-1b2d09d9911d,2,1,00:00:00.000,0,0,1,0.0,35,Starting XI,322,Eibar,1,Regular Play,213,Sevilla,4231.0,"[{'player': {'id': 6823, 'name': 'Sergio Rico González'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6672, 'name': 'Jorge Andújar Moreno'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 3253, 'name': 'Adil Rami'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 10476, 'name': 'Timothée Kolodziejczak'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 27483, 'name': 'Benoît Trémoulinas'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 5737, 'name': ""Steven N''Kemboanza Mike Christopher Nzonzi""}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 3637, 'name': 'Grzegorz Krychowiak'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 23816, 'name': 'José Antonio Reyes Calderón'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 3497, 'name': 'Vicente Iborra De La Fuente'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 6841, 'name': 'Víctor Machín Pérez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 20}, {'player': {'id': 6401, 'name': 'Kevin Gameiro'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
746d6037-a142-4d28-aa37-3c1152fe1344,3,1,00:00:00.000,0,0,1,0.0,18,Half Start,322,Eibar,1,Regular Play,322,Eibar,,,['1032f5b7-529c-411e-9376-3dd47d282b5e'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1032f5b7-529c-411e-9376-3dd47d282b5e,4,1,00:00:00.000,0,0,1,0.0,18,Half Start,322,Eibar,1,Regular Play,213,Sevilla,,,['746d6037-a142-4d28-aa37-3c1152fe1344'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
f5182edf-78b2-4f7c-bcdd-7dc37bb697a6,5,1,00:00:00.607,0,0,2,0.404287,30,Pass,213,Sevilla,9,From Kick Off,213,Sevilla,,,['1020befa-ead0-43c7-aa53-9f0dc41c7bbc'],True,"[60.0, 40.0]",6401.0,Kevin Gameiro,23.0,Center Forward,23816.0,José Antonio Reyes Calderón,2.0518284,-2.3906636,1.0,Ground Pass,"[58.5, 38.6]",38.0,Left Foot,65.0,Kick Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.607
1020befa-ead0-43c7-aa53-9f0dc41c7bbc,6,1,00:00:01.012,0,1,2,,42,Ball Receipt*,213,Sevilla,9,From Kick Off,213,Sevilla,,,['f5182edf-78b2-4f7c-bcdd-7dc37bb697a6'],,"[58.5, 38.6]",23816.0,José Antonio Reyes Calderón,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.012
fe76e76a-272e-4d5a-b260-e7108921a7b8,7,1,00:00:01.922,0,1,2,2.039775,30,Pass,213,Sevilla,9,From Kick Off,213,Sevilla,,,['050e11c5-f947-4012-a553-d6edb83c19b1'],,"[55.7, 41.2]",23816.0,José Antonio Reyes Calderón,17.0,Right Wing,3253.0,Adil Rami,23.16247,2.7378347,1.0,Ground Pass,"[34.4, 50.3]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.922
050e11c5-f947-4012-a553-d6edb83c19b1,8,1,00:00:03.962,0,3,2,,42,Ball Receipt*,213,Sevilla,9,From Kick Off,213,Sevilla,,,['fe76e76a-272e-4d5a-b260-e7108921a7b8'],,"[34.4, 50.3]",3253.0,Adil Rami,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.962
278459ef-811a-4851-9d8e-38e2f3190c56,9,1,00:00:03.962,0,3,2,1.194619,43,Carry,213,Sevilla,9,From Kick Off,213,Sevilla,,,"['050e11c5-f947-4012-a553-d6edb83c19b1', '2f52624e-9249-4b83-9a25-fa1e2e2c4287', '6264ca68-e6bb-4754-a265-523acd0f7ff6']",,"[34.4, 50.3]",3253.0,Adil Rami,3.0,Right Center Back,,,,,,,,,,,,True,"[32.3, 49.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.962
2f52624e-9249-4b83-9a25-fa1e2e2c4287,10,1,00:00:05.085,0,5,2,0.528123,17,Pressure,213,Sevilla,9,From Kick Off,322,Eibar,,,"['278459ef-811a-4851-9d8e-38e2f3190c56', '6264ca68-e6bb-4754-a265-523acd0f7ff6']",,"[84.9, 31.6]",5687.0,Takashi Inui,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.085
6264ca68-e6bb-4754-a265-523acd0f7ff6,11,1,00:00:05.156,0,5,2,3.399199,30,Pass,213,Sevilla,9,From Kick Off,213,Sevilla,,,"['2f52624e-9249-4b83-9a25-fa1e2e2c4287', '614217b8-e6ac-40d6-ba6a-a5d009795558']",,"[32.3, 49.3]",3253.0,Adil Rami,3.0,Right Center Back,,,64.813965,-0.50574976,3.0,High Pass,"[89.0, 17.9]",40.0,Right Foot,,,True,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.156
7d32c508-3b41-4b1f-9bd2-2a57a33f6d7e,12,1,00:00:08.555,0,8,2,0.0,4,Duel,213,Sevilla,9,From Kick Off,213,Sevilla,,,['614217b8-e6ac-40d6-ba6a-a5d009795558'],,"[89.0, 17.9]",3497.0,Vicente Iborra De La Fuente,19.0,Center Attacking Midfield,,,,,,,,,,,,True,,,,10.0,Aerial Lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.555
614217b8-e6ac-40d6-ba6a-a5d009795558,13,1,00:00:08.555,0,8,2,0.0,9,Clearance,213,Sevilla,9,From Kick Off,322,Eibar,,,"['6264ca68-e6bb-4754-a265-523acd0f7ff6', '7d32c508-3b41-4b1f-9bd2-2a57a33f6d7e']",,"[31.1, 62.2]",6837.0,Mauro Javier Dos Santos,3.0,Right Center Back,,,,,,,,,,,,True,,,,,,True,True,37.0,Head,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.555
