id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,out,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,duel_type_id,duel_type_name,clearance_aerial_won,clearance_head,counterpress,interception_outcome_id,interception_outcome_name,ball_recovery_recovery_failure,pass_switch,dribble_overrun,dribble_outcome_id,dribble_outcome_name,pass_cross,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,off_camera,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,pass_no_touch,clearance_left_foot,pass_goal_assist,pass_outswinging,pass_technique_id,pass_technique_name,shot_one_on_one,shot_open_goal,shot_aerial_won,goalkeeper_technique_id,goalkeeper_technique_name,block_deflection,shot_first_time,50_50_outcome_id,50_50_outcome_name,foul_committed_advantage,foul_won_advantage,block_offensive,pass_miscommunication,duel_outcome_id,duel_outcome_name,pass_aerial_won,pass_through_ball,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_cut_back,foul_won_defensive,pass_inswinging,foul_committed_type_id,foul_committed_type_name,pass_deflected,dribble_nutmeg,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,clearance_other,foul_committed_card_id,foul_committed_card_name,foul_committed_offensive,timestamp_seconds
05140693-8f70-4f71-b461-fbf87043a0b8,1,1,00:00:00.000,0,0,1,0.0,35,Starting XI,220,Real Madrid,1,Regular Play,220,Real Madrid,433.0,"[{'player': {'id': 5597, 'name': 'Keylor Navas Gamboa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5721, 'name': 'Daniel Carvajal Ramos'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 20016, 'name': 'Kléper Laveran Lima Ferreira'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5485, 'name': 'Raphaël Varane'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 5552, 'name': 'Marcelo Vieira da Silva Júnior'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 5574, 'name': 'Toni Kroos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 5463, 'name': 'Luka Modrić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 4926, 'name': 'Francisco Román Alarcón Suárez'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 22}, {'player': {'id': 6399, 'name': 'Gareth Frank Bale'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 5207, 'name': 'Cristiano Ronaldo dos Santos Aveiro'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 19677, 'name': 'Karim Benzema'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
e0bdadc6-8e1e-4aac-a270-5e2652e3a42b,2,1,00:00:00.000,0,0,1,0.0,35,Starting XI,220,Real Madrid,1,Regular Play,1041,Sporting Gijón,4231.0,"[{'player': {'id': 6610, 'name': 'Iván Cuéllar Sacristán'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 26633, 'name': 'Alberto Lora Ramos'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 6561, 'name': 'Luis Hernández Rodríguez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 8818, 'name': 'Jorge Meré Pérez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 28}, {'player': {'id': 24263, 'name': 'Ismael López Blanco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 13107, 'name': 'Sergio Álvarez Díaz'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 18925, 'name': 'Ignacio Cases Mora'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 6581, 'name': 'Jonathan Rodríguez Menéndez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 23}, {'player': {'id': 6926, 'name': 'Alen Halilović'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 25}, {'player': {'id': 23994, 'name': 'Alejandro Menéndez Díez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 3}, {'player': {'id': 6602, 'name': 'Miguel Ángel Guerrero Martín'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
db8bd6d9-401f-4d5b-a2cd-ee4eaafb8515,3,1,00:00:00.000,0,0,1,0.0,18,Half Start,220,Real Madrid,1,Regular Play,220,Real Madrid,,,['28aa5950-9d12-4a29-a9f9-1637c17569c4'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
28aa5950-9d12-4a29-a9f9-1637c17569c4,4,1,00:00:00.000,0,0,1,0.0,18,Half Start,220,Real Madrid,1,Regular Play,1041,Sporting Gijón,,,['db8bd6d9-401f-4d5b-a2cd-ee4eaafb8515'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
a7bc8dba-ace5-4608-bfa0-ce8e6d24f17e,5,1,00:00:01.018,0,1,2,0.631284,30,Pass,1041,Sporting Gijón,9,From Kick Off,1041,Sporting Gijón,,,['c7cfe253-04b9-4727-b77c-aebcfcab87ec'],"[61.0, 40.1]",6602.0,Miguel Ángel Guerrero Martín,23.0,Center Forward,6926.0,Alen Halilović,2.7802877,2.228685,1.0,Ground Pass,"[59.3, 42.3]",40.0,Right Foot,65.0,Kick Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.018
c7cfe253-04b9-4727-b77c-aebcfcab87ec,6,1,00:00:01.650,0,1,2,,42,Ball Receipt*,1041,Sporting Gijón,9,From Kick Off,1041,Sporting Gijón,,,['a7bc8dba-ace5-4608-bfa0-ce8e6d24f17e'],"[59.3, 42.3]",6926.0,Alen Halilović,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65
d7e4b179-4074-49a1-9fd7-e7a392ba630c,7,1,00:00:01.650,0,1,2,0.244234,43,Carry,1041,Sporting Gijón,9,From Kick Off,1041,Sporting Gijón,,,"['bf01fecb-58ab-4dd2-82a7-0c13c89b687e', 'c7cfe253-04b9-4727-b77c-aebcfcab87ec']","[59.3, 42.3]",6926.0,Alen Halilović,19.0,Center Attacking Midfield,,,,,,,,,,,,"[59.5, 41.5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65
bf01fecb-58ab-4dd2-82a7-0c13c89b687e,8,1,00:00:01.894,0,1,2,1.58141,30,Pass,1041,Sporting Gijón,9,From Kick Off,1041,Sporting Gijón,,,['3bbeb8dd-1b02-40ff-8c03-698ce51fdb11'],"[59.5, 41.5]",6926.0,Alen Halilović,19.0,Center Attacking Midfield,18925.0,Ignacio Cases Mora,12.022063,2.949091,1.0,Ground Pass,"[47.7, 43.8]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.894
3bbeb8dd-1b02-40ff-8c03-698ce51fdb11,9,1,00:00:03.475,0,3,2,,42,Ball Receipt*,1041,Sporting Gijón,9,From Kick Off,1041,Sporting Gijón,,,['bf01fecb-58ab-4dd2-82a7-0c13c89b687e'],"[47.7, 43.8]",18925.0,Ignacio Cases Mora,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.475
795f372e-abfc-4144-a378-0bfe6373ff62,10,1,00:00:03.475,0,3,2,2.52695,30,Pass,1041,Sporting Gijón,9,From Kick Off,1041,Sporting Gijón,,,['dbd258a7-c8f0-40e5-9dbb-49c273e6f51e'],"[51.2, 42.7]",18925.0,Ignacio Cases Mora,11.0,Left Defensive Midfield,23994.0,Alejandro Menéndez Díez,36.548325,-0.8434723,3.0,High Pass,"[75.5, 15.4]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.475
bdb36a00-44be-49ce-98ec-ad4c924ce7fa,11,1,00:00:03.480,0,3,2,0.675132,17,Pressure,1041,Sporting Gijón,9,From Kick Off,220,Real Madrid,,,,"[64.7, 33.9]",19677.0,Karim Benzema,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.48
dbd258a7-c8f0-40e5-9dbb-49c273e6f51e,12,1,00:00:06.002,0,6,2,,42,Ball Receipt*,1041,Sporting Gijón,9,From Kick Off,1041,Sporting Gijón,,,['795f372e-abfc-4144-a378-0bfe6373ff62'],"[75.5, 15.4]",23994.0,Alejandro Menéndez Díez,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.002
63510231-73aa-4992-a601-18e742e69d8d,13,1,00:00:06.002,0,6,2,0.688299,43,Carry,1041,Sporting Gijón,9,From Kick Off,1041,Sporting Gijón,,,"['96ed1483-62db-462f-9fb5-82437791d09d', 'dbd258a7-c8f0-40e5-9dbb-49c273e6f51e', 'dcad0842-1e82-432e-96a4-0f2e1e05901b']","[75.5, 15.4]",23994.0,Alejandro Menéndez Díez,21.0,Left Wing,,,,,,,,,,,,"[74.7, 15.1]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.002
dcad0842-1e82-432e-96a4-0f2e1e05901b,14,1,00:00:06.559,0,6,2,0.41291,17,Pressure,1041,Sporting Gijón,9,From Kick Off,220,Real Madrid,,,"['63510231-73aa-4992-a601-18e742e69d8d', '96ed1483-62db-462f-9fb5-82437791d09d']","[45.4, 61.8]",5463.0,Luka Modrić,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.559
96ed1483-62db-462f-9fb5-82437791d09d,15,1,00:00:06.691,0,6,2,0.966365,30,Pass,1041,Sporting Gijón,9,From Kick Off,1041,Sporting Gijón,,,"['d8dae5b0-f3f5-44e0-9ea1-70341584a795', 'dcad0842-1e82-432e-96a4-0f2e1e05901b']","[74.7, 15.1]",23994.0,Alejandro Menéndez Díez,21.0,Left Wing,24263.0,Ismael López Blanco,13.398881,-2.574291,1.0,Ground Pass,"[63.4, 7.9]",40.0,Right Foot,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.691
d8dae5b0-f3f5-44e0-9ea1-70341584a795,16,1,00:00:07.657,0,7,2,,42,Ball Receipt*,1041,Sporting Gijón,9,From Kick Off,1041,Sporting Gijón,,,['96ed1483-62db-462f-9fb5-82437791d09d'],"[63.4, 7.9]",24263.0,Ismael López Blanco,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.657
49fe2696-ba9c-4fd1-9754-233577938c87,17,1,00:00:07.657,0,7,2,1.001544,43,Carry,1041,Sporting Gijón,9,From Kick Off,1041,Sporting Gijón,,,"['a61aa934-16f3-4858-8ff1-10117ed36dfc', 'd8dae5b0-f3f5-44e0-9ea1-70341584a795']","[63.4, 7.9]",24263.0,Ismael López Blanco,6.0,Left Back,,,,,,,,,,,,"[64.0, 5.5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.657
a61aa934-16f3-4858-8ff1-10117ed36dfc,18,1,00:00:08.659,0,8,2,3.096724,30,Pass,1041,Sporting Gijón,9,From Kick Off,1041,Sporting Gijón,,,"['4b89fe06-8da3-413a-a5d7-dfcbbbfae665', 'ed3371aa-f79a-43b5-a84a-070c1c5c698e']","[64.0, 5.5]",24263.0,Ismael López Blanco,6.0,Left Back,23994.0,Alejandro Menéndez Díez,37.202152,0.010752274,3.0,High Pass,"[101.2, 5.9]",38.0,Left Foot,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.659
4b89fe06-8da3-413a-a5d7-dfcbbbfae665,19,1,00:00:11.755,0,11,2,,42,Ball Receipt*,1041,Sporting Gijón,9,From Kick Off,1041,Sporting Gijón,,,['a61aa934-16f3-4858-8ff1-10117ed36dfc'],"[81.1, 4.4]",23994.0,Alejandro Menéndez Díez,21.0,Left Wing,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.755
ed3371aa-f79a-43b5-a84a-070c1c5c698e,20,1,00:00:11.755,0,11,2,0.0,9,Clearance,1041,Sporting Gijón,9,From Kick Off,220,Real Madrid,,,['a61aa934-16f3-4858-8ff1-10117ed36dfc'],"[18.9, 74.2]",20016.0,Kléper Laveran Lima Ferreira,3.0,Right Center Back,,,,,,,,,,,,,True,,,,,True,True,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.755
7ef2d155-982f-433a-96ea-f062522872f6,21,1,00:00:38.060,0,38,3,1.882113,30,Pass,1041,Sporting Gijón,4,From Throw In,1041,Sporting Gijón,,,['9f41574f-208d-43f8-82e4-e914269cef9a'],"[97.8, 0.1]",6561.0,Luis Hernández Rodríguez,3.0,Right Center Back,,,32.241898,1.0335683,3.0,High Pass,"[114.3, 27.8]",,,67.0,Throw-in,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.06
9e1cbc23-9612-4154-a374-397090915e9c,22,1,00:00:39.942,0,39,3,0.0,4,Duel,1041,Sporting Gijón,4,From Throw In,1041,Sporting Gijón,,,['9f41574f-208d-43f8-82e4-e914269cef9a'],"[114.3, 27.8]",6602.0,Miguel Ángel Guerrero Martín,23.0,Center Forward,,,,,,,,,,,,,True,,,,,,,,,10.0,Aerial Lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.942
9f41574f-208d-43f8-82e4-e914269cef9a,23,1,00:00:39.942,0,39,3,0.0,9,Clearance,1041,Sporting Gijón,4,From Throw In,220,Real Madrid,,,"['7ef2d155-982f-433a-96ea-f062522872f6', '9e1cbc23-9612-4154-a374-397090915e9c']","[5.8, 52.3]",5721.0,Daniel Carvajal Ramos,2.0,Right Back,,,,,,,,,,,,,True,,,,,,,37.0,Head,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.942
13858f0e-bf95-4146-a3f4-d4efc86cf265,24,1,00:00:41.750,0,41,4,0.0,2,Ball Recovery,220,Real Madrid,1,Regular Play,220,Real Madrid,,,,"[29.2, 58.3]",19677.0,Karim Benzema,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.75
21e881ce-5994-4a28-9d4d-2ed68609d223,25,1,00:00:41.750,0,41,4,1.770571,43,Carry,220,Real Madrid,1,Regular Play,220,Real Madrid,,,"['13858f0e-bf95-4146-a3f4-d4efc86cf265', '23a19fa1-8e7d-4abe-a9dd-1a23f238fe5a']","[29.2, 58.3]",19677.0,Karim Benzema,23.0,Center Forward,,,,,,,,,,,,"[25.5, 60.5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.75
