id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,under_pressure,carry_end_location,pass_outcome_id,pass_outcome_name,clearance_body_part_id,clearance_body_part_name,clearance_head,dribble_outcome_id,dribble_outcome_name,shot_statsbomb_xg,shot_end_location,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_freeze_frame,out,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,pass_switch,pass_technique_id,pass_technique_name,pass_inswinging,goalkeeper_outcome_id,goalkeeper_outcome_name,clearance_left_foot,ball_receipt_outcome_id,ball_receipt_outcome_name,duel_type_id,duel_type_name,clearance_aerial_won,counterpress,duel_outcome_id,duel_outcome_name,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,pass_aerial_won,clearance_right_foot,pass_cross,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,foul_committed_advantage,foul_won_advantage,pass_through_ball,interception_outcome_id,interception_outcome_name,50_50_outcome_id,50_50_outcome_name,miscontrol_aerial_won,pass_goal_assist,foul_committed_type_id,foul_committed_type_name,foul_won_defensive,block_offensive,shot_first_time,pass_outswinging,ball_recovery_recovery_failure,pass_cut_back,clearance_other,shot_aerial_won,foul_committed_card_id,foul_committed_card_name,foul_committed_penalty,foul_won_penalty,bad_behaviour_card_id,bad_behaviour_card_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,dribble_overrun,shot_open_goal,shot_one_on_one,pass_straight,foul_committed_offensive,timestamp_seconds
f9fdf8ed-bed4-4016-83c0-cc13ef49408d,1,1,00:00:00.000,0,0,1,0.0,35,Starting XI,221,Levante UD,1,Regular Play,221,Levante UD,442.0,"[{'player': {'id': 23843, 'name': 'Diego Mariño Villar'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5678, 'name': 'Jefferson Andrés Lerma Solís'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 8}, {'player': {'id': 26012, 'name': 'David Navarro Pedrós'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 27656, 'name': 'Carl Medjani'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 6784, 'name': 'Antonio García Aranda'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 24149, 'name': 'José Antonio García Rabasco'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 27122, 'name': 'Simão Mate'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 26211, 'name': 'Joan Verdú Fernández'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 25}, {'player': {'id': 6668, 'name': 'José Luis Morales Nogales'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 25134, 'name': 'Deyverson Brum Silva Acosta'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 20}, {'player': {'id': 7141, 'name': 'Giuseppe Rossi'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 21}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2a31bae5-5db3-4342-a533-a0fdf61e257e,2,1,00:00:00.000,0,0,1,0.0,35,Starting XI,221,Levante UD,1,Regular Play,216,Getafe,4231.0,"[{'player': {'id': 6625, 'name': 'Vicente Guaita Panadero'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6627, 'name': 'Damián Nicolás Suárez Suárez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 27403, 'name': 'Santiago Vergini'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 6861, 'name': 'Juan Torres Ruiz'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 27092, 'name': 'Abdoul Karim Yoda'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 25881, 'name': 'Juan Antonio Rodríguez Villamuela'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 15893, 'name': 'Víctor Rodríguez Romero'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 6907, 'name': 'Pedro León Sánchez Gil'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 6720, 'name': 'Pablo Sarabia García'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 11675, 'name': 'Moisés Gómez Bordonado'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 21}, {'player': {'id': 24035, 'name': 'Álvaro Vázquez García'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
d85a7fbf-276f-4fa0-be6b-695e4e93a26c,3,1,00:00:00.000,0,0,1,0.0,18,Half Start,221,Levante UD,1,Regular Play,221,Levante UD,,,['697b0ca1-7a57-4ca6-98bb-8c770a8b5ea4'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
697b0ca1-7a57-4ca6-98bb-8c770a8b5ea4,4,1,00:00:00.000,0,0,1,0.0,18,Half Start,221,Levante UD,1,Regular Play,216,Getafe,,,['d85a7fbf-276f-4fa0-be6b-695e4e93a26c'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
8dae401b-6779-4254-9c6d-2e5d78e9d016,5,1,00:00:00.815,0,0,2,0.197328,30,Pass,221,Levante UD,9,From Kick Off,221,Levante UD,,,['0e7b0068-2cce-4aea-bf3b-7a9206500485'],True,"[60.0, 40.0]",25134.0,Deyverson Brum Silva Acosta,22.0,Right Center Forward,7141.0,Giuseppe Rossi,4.8104053,-1.2095926,1.0,Ground Pass,"[61.7, 35.5]",40.0,Right Foot,65.0,Kick Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.815
0e7b0068-2cce-4aea-bf3b-7a9206500485,6,1,00:00:01.012,0,1,2,,42,Ball Receipt*,221,Levante UD,9,From Kick Off,221,Levante UD,,,['8dae401b-6779-4254-9c6d-2e5d78e9d016'],,"[61.7, 35.5]",7141.0,Giuseppe Rossi,24.0,Left Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.012
db68deb2-f52c-4877-9b75-ac86da9d98fa,7,1,00:00:01.084,0,1,2,1.134325,30,Pass,221,Levante UD,9,From Kick Off,221,Levante UD,,,['404065d6-f770-4895-a920-26697952e192'],True,"[60.1, 35.6]",7141.0,Giuseppe Rossi,24.0,Left Center Forward,24149.0,José Antonio García Rabasco,16.414932,2.6942923,1.0,Ground Pass,"[45.3, 42.7]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.084
404065d6-f770-4895-a920-26697952e192,8,1,00:00:02.218,0,2,2,,42,Ball Receipt*,221,Levante UD,9,From Kick Off,221,Levante UD,,,['db68deb2-f52c-4877-9b75-ac86da9d98fa'],,"[45.3, 42.7]",24149.0,José Antonio García Rabasco,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.218
aaed9924-e878-43f8-9893-ee0929f0956d,9,1,00:00:03.025,0,3,2,0.638519,17,Pressure,221,Levante UD,9,From Kick Off,216,Getafe,,,['09b9244e-357c-4cc4-9408-03ffe1597ad4'],,"[71.7, 33.5]",24035.0,Álvaro Vázquez García,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.025
09b9244e-357c-4cc4-9408-03ffe1597ad4,10,1,00:00:03.453,0,3,2,1.644781,30,Pass,221,Levante UD,9,From Kick Off,221,Levante UD,,,"['2f1ec32e-a6a2-47f0-bb0d-bd23e6eb5d95', 'aaed9924-e878-43f8-9893-ee0929f0956d']",,"[42.5, 43.1]",24149.0,José Antonio García Rabasco,9.0,Right Defensive Midfield,6784.0,Antonio García Aranda,37.404945,-1.6457229,1.0,Ground Pass,"[39.7, 5.8]",40.0,Right Foot,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.453
